feature_number,features,r_sq_score
1,HalopropSpin,0.8906435261143927
2,GalpropNormSigmaBulge,0.9509437718712204
3,HalopropC_nfw,0.9769025604931324
4,GalpropNormMHI,0.9824015486381262
5,GalpropNormMstar,0.9831769008030706
6,HalopropZhot,0.9830816354270375
7,HalopropNormMstar_diffuse,0.9828056348872479
8,GalpropSfr,0.9827502392838868
9,GalpropOutflowRate_Mass,0.9828799356393122
10,GalpropTmerger_major,0.9825332814898734
11,GalpropNormMcold,0.9824662862090757
12,GalpropMaccdot_radio,0.9824672983160113
13,GalpropNormVdisk,0.9826312436984304
14,HalopropMaccdot_radio,0.982645352804789
15,HalopropMcooldot,0.9826759575582408
16,GalpropSfrave100myr,0.982847382161688
17,GalpropNormMbulge,0.9828637032068536
